Robot,Embodiment,Mobility,Total number of dof,Manipulator type,DoF Manipulator,Height,Length,Width,Diameter,Weight,Shell material type,Color pallete,Applications,Target user group,Commercially available,Social Software Capabilities,Sensors,Interaction modalities,Face,Software Extension Capability,total number of associated papers,year,robot number,modality number
Nelson,['humanoid'],fully-mobile,16,gesture,6,,,,,-1,"['hard', 'partial', 'dressed']",['grey'],"['research', 'education']",['research groups'],not available,"['face recognition', 'object recognition', 'autonomous navigation']","['camera', 'IR']","['body movement', 'gesture', 'facial expression', 'head movement']",['partly-actuated'],support ROS,1,2011,22,4
Luna,['humanoid'],fully-mobile,,functional,-1,1570,560,,,30,"['hard', 'full', 'undressed']","['white', 'grey']",['service'],['general public'],used to be available,"['autonomous navigation', 'teleoperation', 'preprogrammed behaviors']","['camera', 'depth camera', 'microphone']","['touch screen', 'speech', 'gesture', 'body movement', 'head movement', 'eye movement', 'lights', 'facial expression']",['screen'],support ROS,1,2011,22,8
Julia ,['humanoid'],fully-mobile,,functional,-1,,,,,-1,"['hard', 'full', 'undressed']","['white', 'black', 'pink']","['service', 'entertainment']",['general public'],not available,"['autonomous navigation', 'pose tracking']",['laser'],"['screen', 'body movement', 'gesture']",['static'],not mentioned ,1,2011,22,3
KT-X PC,['humanoid'],fully-mobile,20,gesture,6,390,115,225,,2.2,"['hard', 'partial', 'undressed']","['white', 'metallic']","['entertainment', 'research']","['general public', 'research groups']",available ,['preprogrammed behaviors'],['camera'],"['body movement', 'lights', 'sound']",['LED features'],interface available ,1,2011,22,3
Romo,['mechanoid'],fully-mobile,2,n/a,0,,,,,-1,"['hard', 'full', 'undressed']","['white', 'grey']","['entertainment', 'education']",['general public'],used to be available,"['preprogrammed behaviors', 'teleoperation']",['x'],"['body movement', 'facial expression']",['screen'],library/API available,1,2011,22,2
Parlo,['humanoid'],fully-mobile,23,gesture,9,400,120,180,,1.8,"['hard', 'full', 'undressed']","['white', 'grey']",['research'],['research groups'],used to be available,"['face recognition', 'object recognition', 'speech recognition']","['ultrasonic', 'force', 'touch', 'microphone', 'camera']","['body movement', 'head movement', 'gesture', 'speech', 'sound', 'lights']",['LED features'],interface available ,1,2011,22,6
Urbano,['humanoid'],fully-mobile,4,gesture,4,,,,,-1,"['hard', 'partial', 'undressed']","['blue', 'pink']",['service'],['general public'],not available ,"['object recognition', 'smell discernment', 'autonomous navigation', 'speech recognition']","['gas', 'temperature', 'laser', 'ultrasonic']","['facial expression', 'eye movement']",['fully-actuated'],not mentioned,1,2012,22,2
RQ HUNO ,['hybrid'],fully-mobile,16,gesture,-1,190,,,,0.62,"['hard', 'partial', 'undressed']","['grey', 'metallic']","['education', 'entertainment']","['general public', 'research groups']",available ,"['preprogrammed behaviors', 'autonomous navigation', 'sound cues generation']","['IR', 'microphone']","['body movement', 'gesture', 'sound']",['static'],library/API available ,1,2012,22,3
WaWa,['abstract'],on-spot mobile,3,n/a,0,195,,,140,1.8,"['hard', 'full', 'undressed']","['white', 'black']",['service'],['general public'],not available ,"['autonomous navigation', 'preprogrammed behaviors', 'face recognition']",['camera'],['body movement'],['x'],not mentioned ,1,2012,22,1
Romibo,['biomimetic'],fully-mobile,4,gesture,-1,,,,,-1,"['fabric', 'full', 'undressed']",['blue'],['healthcare'],['children'],used to be available,"['speech recognition', 'speech synthesis', 'eye tracking', 'preprogrammed behaviors']","['microphone', 'IR', 'camera']","['speech', 'tactile', 'speech', 'body movement', 'eye movement', 'lights']",['screen'],not mentioned,1,2012,22,6
RP-VITA,"['abstract', 'mechanoid']",fully-mobile,5,n/a,0,1680,584,584,,79.8,"['hard', 'full', 'undressed']","['white', 'black', 'blue']","['healthcare', 'telepresence']","['general public', 'patients']",available ,"['autonomous navigation', 'teleoperation', 'speech recognition', 'face recognition']","['microphone', 'bumper', 'laser', 'camera']","['touch screen', 'body movement', 'speech']",['screen'],library/API available,1,2012,22,3
AC-Robot ,['humanoid'],non-mobile,0,n/a,0,,,,,-1,"['hard', 'partial', 'undressed']",['white'],['research'],['research groups'],not available,"['pose tracking', 'face recognition', 'eye tracking']","['laser', 'camera']","['head movement', 'eye movement']",['back-projected'],not mentioned ,1,2012,22,2
Ozobots,['abstract'],fully-mobile,,n/a,0,25,,,25,0.009,"['hard', 'full', 'undressed']",['variable'],['education'],['children'],available ,['preprogrammed behaviors'],['color'],"['body movement', 'lights']",['x'],not mentioned ,1,2012,22,2
Ren-Q. Jr,['animal-like'],fully-mobile,,n/a,0,1360,500,600,,-1,"['hard', 'full', 'undressed']","['white', 'orange', 'black']",['service'],['general public'],not available,"['object recognition', 'speech recognition', 'autonomous navigation', 'gesture recognition']","['touch', 'camera', 'laser', 'ultrasonic', 'depth camera']","['body movement', 'screen']",['screen'],not mentioned,1,2012,22,2
KMC-EXPR,['hybrid'],on-spot mobile,,n/a,0,,,,,-1,"['hard', 'full', 'undressed']","['black', 'white']","['education', 'entertainment']","['children', 'general public']",available ,"['face recognition', 'speech recognition', 'speech synthesis']","['camera', 'microphone']","['speech', 'facial expression']",['fully-actuated'],not mentioned,1,2012,22,2
Philos,['animal-like'],fully-mobile,7,gesture,4,,,,,-1,"['fabric', 'full', 'undressed']","['white', 'black']","['healthcare', 'entertainment', 'service']","['patients', 'elderly']",not available ,"['preprogrammed behaviors', 'face recognition', 'face recognition']","['camera', 'force']","['tactile', 'body movement', 'gesture']",['static'],not mentioned ,1,2012,22,3
FESTO plus led head,['humanoid'],fully-mobile,,n/a,0,1000,,,,-1,"['hard', 'full', 'dressed']",['black'],['research'],"['elderly', 'patients']",not available,['object recognition'],"['laser', 'IR']","['body movement', 'facial expression']",['LED features'],not mentioned ,1,2012,22,2
IURO,['mechanoid'],fully-mobile,8,gesture,4,1600,900,700,,-1,"['hard', 'full', 'undressed']",['white'],"['entertainment', 'research']",['general public'],not available,"['autonomous navigation', 'face recognition', 'speech synthesis']","['depth camera', 'camera', 'laser', 'microphone', 'bumper']","['speech', 'gesture', 'body movement', 'eye movement', 'facial expression', 'head movement']",['fully-actuated'],not mentioned ,1,2012,22,6
Robi,['humanoid'],fully-mobile,20,gesture,-1,340,,,,1,"['hard', 'full', 'undressed']","['black', 'white', 'grey']",['entertainment'],"['children', 'general public']",available ,"['speech recognition', 'object recognition', 'preprogrammed behaviors']","['microphone', 'touch']","['speech', 'body movement', 'head movement', 'lights', 'speech']",['LED features'],not mentioned,1,2012,22,5
Emoticon Yano,"['biomimetic', 'abstract']",non-mobile,,n/a,0,,,,,-1,"['soft', 'full', 'undressed']",['white'],['research'],['general public'],not available,"['preprogrammed behaviors', 'WoZ']","['touch', 'temperature', 'microphone', 'IR']","['facial expression', 'tactile', 'sound']",['screen'],not mentioned,1,2013,18,3
mBot,['humanoid'],fully-mobile,3,gesture,2,1020,670,570,,49,"['hard', 'full', 'undressed']","['white', 'black']",['healthcare'],"['children', 'patients']",used to be available,"['teleoperation', 'autonomous navigation', 'face recognition', 'object recognition', 'pose tracking']",['camera'],"['body movement', 'lights', 'facial expression']",['LED features'],not mentioned ,1,2013,18,3
Hospi-R,['biomimetic'],fully-mobile,,n/a,0,1386,725,630,,211.6,"['hard', 'full', 'undressed']",['variable'],['service'],['general public'],used to be available,"['speech recognition', 'speech synthesis', 'face recognition', 'autonomous navigation']","['microphone', 'camera', 'laser']","['speech', 'body movement', 'head movement', 'eye movement', 'lights', 'facial expression']",['screen'],not mentioned,1,2013,18,6
Zoomer,['animal-like'],fully-mobile,,n/a,0,,,,,0.88,"['hard', 'full', 'undressed']","['white', 'black']",['entertainment'],['children'],available ,"['preprogrammed behaviors', 'learning abilities', 'speech recognition', 'sound cues generation']","['microphone', 'touch']","['tactile', 'speech', 'body movement', 'eye movement', 'head movement', 'sound']",['screen'],library/API available,1,2013,18,6
RoboMe,['humanoid'],fully-mobile,,gesture,-1,,,,,1.79,"['hard', 'full', 'undressed']","['white', 'black']",['entertainment'],"['general public', 'children']",used to be available,"['speech synthesis', 'teleoperation', 'autonomous navigation', 'speech recognition', 'face recognition', 'object recognition']","['IR', 'microphone', 'camera', 'touch']","['tactile', 'speech', 'gesture', 'body movement', 'head movement', 'eye movement', 'facial expression', 'sound', 'lights']",['screen'],library/API available,1,2013,18,9
Domestic Robot DoRo,['humanoid'],fully-mobile,8,functional,6,,,,,-1,"['hard', 'partial', 'undressed']","['white', 'blue', 'black']",['service'],['elderly'],not available,"['autonomous navigation', 'speech recognition', 'speech synthesis', 'object recognition', 'teleoperation']","['laser', 'camera', 'depth camera']","['lights', 'touch screen', 'head movement']",['static'],Support ROS,1,2013,18,3
Nadine,['android'],on-spot mobile,27,gesture,14,1315,886,551,,35,"['soft', 'full', 'dressed']",['light skin tone'],['research'],['research groups'],not available,"['face recognition', 'gesture recognition', 'speech recognition', 'speech synthesis', 'learning abilities']","['camera', 'depth camera', 'microphone']","['gesture', 'facial expression', 'speech', 'head movement', 'eye movement']",['fully-actuated'],not mentioned,1,2013,18,5
FROG,"['biomimetic', 'mechanoid']",fully-mobile,2,n/a,0,,,,,-1,"['hard', 'full', 'undressed']","['green', 'grey', 'white']",['service'],['general public'],used to be available,"['eye tracking', 'teleoperation']","['camera', 'touch', 'humidity', 'lights']","['gesture', 'touch screen']",['LED features'],not mentioned,1,2013,18,2
Roboy,['hybrid'],on-spot mobile,28,functional,14,1420,,507,,-1,"['hard', 'partial', 'undressed']","['white', 'metallic']",['research'],['research groups'],open-source,"['object recognition', 'speech recognition', 'preprogrammed behaviors', 'pose tracking']","['camera', 'microphone']","['body movement', 'head movement', 'eye movement']",['back-projected'],library/API available,1,2013,18,3
Double,['abstract'],fully-mobile,,n/a,0,1190,,,,-1,"['hard', 'full', 'undressed']","['black', 'blue']",['telepresence'],"['corporations', 'research groups']",available ,['teleoperation'],"['camera', 'microphone', 'ultrasonic', 'depth camera']","['body movement', 'sound', 'touch screen']",['screen'],library/API available,1,2013,18,3
URSUS,['animal-like'],on-spot mobile,14,gesture,6,1400,,,,-1,"['fabric', 'full', 'dressed']","['brown', 'red', 'yellow']",['healthcare'],['children'],not available ,"['pose tracking', 'speech synthesis']",['depth camera'],"['speech', 'head movement', 'gesture', 'body movement', 'tactile']",['static'],not mentioned,1,2013,18,5
HEAD,['humanoid'],non-mobile,0,n/a,0,,,,,-1,"['hard', 'full', 'undressed']","['blue', 'red', 'grey']",['research'],['research groups'],not available,"['speech recognition', 'speech synthesis']","['microphone', 'camera']","['facial expression', 'speech']",['fully-actuated'],not mentioned ,1,2013,18,2
Kakapo,['biomimetic'],on-spot mobile,0,n/a,0,370,100,70,,0.5,"['fabric', 'full', 'undressed']",['green'],['entertainment'],['general public'],not available,['preprogrammed behaviors'],"['touch', 'temperature']",['tactile'],['static'],not mentioned,1,2014,23,1
BB8,['abstract'],fully-mobile,,n/a,0,,,,75,-1,"['hard', 'full', 'undressed']","['white', 'orange']",['entertainment'],['children'],available,['preprogrammed behaviors'],['x'],['body movement'],['x'],not mentioned ,1,2014,23,1
ARIO,['mechanoid'],on-spot mobile,,functional,5,,,,,-1,"['hard', 'full', 'undressed']",['grey'],"['service', 'research']","['general public', 'research groups']",not available,"['face recognition', 'pose tracking', 'learning abilities']","['laser', 'depth camera', 'microphone']",['screen'],['screen'],support ROS,1,2014,23,1
Gazeroid,['android'],on-spot mobile,5,n/a,0,,,,,-1,"['soft', 'full', 'dressed']",['light skin tone'],['research'],['research groups'],not available,"['eye tracking', 'face recognition']",['depth camera'],['eye movement'],['partly-actuated'],not mentioned,1,2014,23,1
MiRo,['biomimetic'],fully-mobile,8,n/a,0,,,,,-1,"['hard', 'full', 'undressed']","['white', 'grey']","['research', 'education']",['research groups'],available ,"['autonomous navigation', 'face recognition', 'sound localization']","['camera', 'microphone', 'ultrasonic', 'lights', 'touch']","['sound', 'tactile', 'lights', 'body movement', 'head movement']",['LED features'],support ROS,1,2014,23,5
HR-1,['humanoid'],fully-mobile,42,functional,12,1570,,,,30,"['hard', 'full', 'undressed']",['white'],['research'],['research groups'],not available,"['face recognition', 'speech synthesis']","['camera', 'laser']","['gesture', 'body movement', 'speech']",['LED features'],not mentioned ,1,2014,23,3
Dash,"['biomimetic', 'abstract']",fully-mobile,4,n/a,0,95,86,86,,0.798,"['hard', 'full', 'undressed']","['blue', 'green']",['education'],['children'],available ,"['sound cues generation', 'teleoperation', 'autonomous navigation']","['IR', 'microphone']","['sound', 'head movement', 'body movement']",['LED features'],interface available ,1,2014,23,3
Starship,['mechanoid'],fully-mobile,6,n/a,0,554,678,569,,23,"['hard', 'full', 'undressed']","['white', 'grey', 'black']",['service'],['general public'],available ,"['autonomous navigation', 'object recognition']","['ultrasonic', 'depth camera', 'camera']",['body movement'],['x'],not mentioned,1,2014,23,1
Pekoppa,['biomimetic'],on-spot mobile,3,n/a,0,,,,,-1,"['hard', 'full', 'undressed']","['green', 'white', 'brown']","['entertainment', 'research']","['children', 'general public']",available ,['preprogrammed behaviors'],['microphone'],['body movement'],['x'],not mentioned ,1,2014,23,1
UXA-90,['hybrid'],fully-mobile,24,gesture,8,1000,,350,,8.9,"['hard', 'partial', 'undressed']","['white', 'black', 'metallic']","['research', 'entertainment']","['general public', 'research groups']",available ,"['autonomous navigation', 'teleoperation', 'speech synthesis', 'face recognition', 'preprogrammed behaviors']","['camera', 'microphone']","['body movement', 'gesture', 'head movement', 'speech', 'lights']",['back-projected'],support ROS,1,2014,23,5
HR-2,['hybrid'],fully-mobile,48,functional,12,1590,,,,24,['none'],['metallic'],['research'],['research groups'],not available,"['face recognition', 'speech synthesis']",['camera'],"['gesture', 'body movement', 'speech']",['fully-actuated'],not mentioned ,1,2014,23,3
relay,"['mechanoid', 'abstract']",fully-mobile,2,n/a,0,920,,510,,40.8,"['hard', 'full', 'undressed']","['white', 'black', 'grey']","['service', 'healthcare']",['general public'],available ,"['autonomous navigation', 'sound cues generation', 'preprogrammed behaviors']","['camera', 'laser', 'ultrasonic', 'bumper']","['touch screen', 'body movement', 'eye movement', 'sound']",['x'],not mentioned ,1,2014,23,4
Robbie,['hybrid'],fully-mobile,9,n/a,0,,,,,37.7,"['hard', 'partial', 'undressed']","['metallic', 'blue']",['service'],['general public'],not available,['preprogrammed behaviors'],['x'],"['body movement', 'gesture', 'eye movement']",['screen'],not mentioned ,1,2014,23,3
Cat Robot,['animal-like'],on-spot mobile,21,gesture,6,500,,,,5,['none'],['metallic'],['healthcare'],['children'],not available,['preprogrammed behaviors'],['touch'],"['gesture', 'eye movement', 'speech']",['partly-actuated'],not mentioned ,1,2014,23,3
MUSIO,['biomimetic'],non-mobile,0,n/a,0,218,83,174,,0.85,"['hard', 'full', 'undressed']","['white', 'black']","['education', 'entertainment']","['children', 'general public']",available ,"['speech recognition', 'speech synthesis']",['microphone'],"['speech', 'lights']",['screen'],not mentioned,1,2015,12,2
Mechanical Ottoman,['mechanoid'],fully-mobile,2,n/a,0,,,,,-1,"['soft', 'full', 'undressed']",['black'],['research'],['research groups'],not available,['teleoperation'],['x'],['body movement'],['x'],not mentioned ,1,2015,12,1
ROVER,"['abstract', 'biomimetic']",non-mobile,0,n/a,0,,,,,-1,"['hard', 'partial', 'undressed']","['white', 'black']",['entertainment'],['general public'],not available,"['autonomous navigation', 'face recognition', 'sound cues generation']","['camera', 'IR']","['body movement', 'sound']",['static'],not mentioned ,1,2015,12,2
PCBot,['mechanoid'],fully-mobile,,n/a,0,,,,,-1,"['hard', 'full', 'undressed']","['white', 'yellow']",['service'],['general public'],used to be available,"['gesture recognition', 'speech synthesis']",['camera'],"['body movement', 'screen', 'speech']",['x'],not mentioned ,1,2015,12,3
Hobbit,['mechanoid'],fully-mobile,8,functional,8,1250,480,550,,-1,"['hard', 'full', 'undressed']","['white', 'black']",['healthcare'],['elderly'],not available,"['autonomous navigation', 'speech recognition', 'gesture recognition', 'speech synthesis', 'pose tracking']","['camera', 'temperature', 'microphone', 'bumper']","['speech', 'gesture', 'touch screen', 'body movement']",['LED features'],support ROS,1,2015,12,4
Eddie the Modified Platform,['mechanoid'],fully-mobile,2,n/a,0,1350,,,,-1,['none'],"['black', 'metallic']",['research'],"['general public', 'research groups']",available ,['autonomous navigation'],"['depth camera', 'IR', 'ultrasonic', 'camera', 'microphone']","['body movement', 'gesture']",['x'],support ROS,1,2015,12,2
Kip1,['mechanoid'],on-spot mobile,3,n/a,0,,,,,-1,['none'],['white'],['research'],['research groups'],not available,['preprogrammed behaviors'],['microphone'],['body movement'],['x'],not mentioned ,1,2015,12,1
Joy For All Robot,['animal-like'],on-spot mobile,,n/a,0,,,,,-1,"['fabric', 'full', 'undressed']",['variable'],"['healthcare', 'entertainment']","['patients', 'research groups', 'children', 'elderly']",available ,['sound cues generation'],['touch'],"['tactile', 'sound']",['x'],not mentioned ,1,2015,12,2
Gualzru,['humanoid'],fully-mobile,2,n/a,0,,,,,-1,"['hard', 'full', 'undressed']","['white', 'black']",['service'],['general public'],not available,"['autonomous navigation', 'face recognition', 'speech recognition', 'speech synthesis']","['microphone', 'camera', 'depth camera', 'laser']","['body movement', 'facial expression', 'speech']",['LED features'],not mentioned ,1,2015,12,3
Emobie,['biomimetic'],on-spot mobile,2,gesture,2,,,,,-1,"['fabric', 'full', 'undressed']",['grey'],['entertainment'],['children'],not available,['preprogrammed behaviors'],['x'],"['eye movement', 'lights']",['screen'],not mentioned,1,2016,25,2
ChiCarRo,['humanoid'],fully-mobile,2,n/a,0,350,,270,,4,"['hard', 'full', 'undressed']","['white', 'orange']",['telepresence'],"['elderly', 'children']",not available,"['teleoperation', 'autonomous navigation']","['touch', 'IR', 'color']","['screen', 'sound', 'gesture', 'body movement']",['screen'],not mentioned ,1,2016,25,4
ZENBO,"['biomimetic', 'abstract']",fully-mobile,,n/a,0,315,185,185,,2.75,"['hard', 'full', 'undressed']","['white', 'blue']","['education', 'research']","['children', 'research groups']",available,"['autonomous navigation', 'teleoperation', 'speech synthesis']","['camera', 'microphone', 'IR', 'touch']","['touch screen', 'speech', 'sound', 'head movement']",['screen'],library/API available ,1,2016,25,4
RoBoHoN,['humanoid'],on-spot mobile,20,gesture,6,195,,,,-1,"['hard', 'full', 'undressed']","['grey', 'white', 'orange']","['service', 'entertainment']",['general public'],available,"['learning abilities', 'face recognition', 'speech recognition', 'speech synthesis', 'sound localization']","['lights', 'microphone', 'camera']","['speech', 'body movement', 'head movement', 'lights', 'projection', 'touch screen']",['LED features'],not mentioned ,1,2016,25,6
Pillo,['biomimetic'],on-spot mobile,1,n/a,0,,,,,-1,"['hard', 'full', 'undressed']","['white', 'black', 'blue']",['healthcare'],"['elderly', 'general public']",available,"['speech synthesis', 'preprogrammed behaviors']","['camera', 'microphone']","['touch screen', 'speech']",['screen'],not mentioned ,1,2016,25,2
Sanbot,['humanoid'],fully-mobile,,gesture,2,900,,,,19,"['hard', 'full', 'undressed']","['metallic', 'white', 'black']","['education', 'service']",['general public'],available ,"['face recognition', 'pose tracking', 'speech recognition', 'preprogrammed behaviors']","['IR', 'microphone', 'camera', 'depth camera']","['touchscreen', 'speech', 'body movement', 'head movement', 'projection']",['screen'],library/API available,1,2016,25,5
EDGAR,['humanoid'],on-spot mobile,28,gesture,22,1000,,,,20,"['hard', 'full', 'undressed']","['black', 'white']","['telepresence', 'research']",['research groups'],not available,"['pose tracking', 'face recognition', 'teleoperation']","['camera', 'microphone']","['gesture', 'body movement', 'sound']",['back-projected'],library/API available,1,2016,25,3
IPAL,['humanoid'],fully-mobile,24,gesture,20,1066,,,,12.7,"['hard', 'full', 'undressed']","['white', 'blue']","['service', 'healthcare', 'education', 'entertainment']","['children', 'elderly', 'general public']",available ,"['speech recognition', 'speech synthesis', 'sound localization', 'face recognition', 'teleoperation', 'learning abilities']","['IR', 'touch', 'camera', 'microphone']","['touch screen', 'speech', 'speech', 'gesture', 'body movement', 'head movement']",['static'],library/API available,1,2016,25,6
sympartner,"['mechanoid', 'biomimetic']",fully-mobile,5,n/a,0,1400,450,550,,25,"['hard', 'partial', 'undressed']","['white', 'black']",['service'],['elderly'],available ,"['speech synthesis', 'speech recognition', 'face recognition', 'pose tracking', 'object recognition', 'learning abilities', 'preprogrammed behaviors']","['camera', 'depth camera', 'laser', 'microphone', 'touch', 'bumper', 'force']","['speech', 'body movement', 'screen', 'touch screen']",['x'],not mentioned ,1,2016,25,4
PaperBot,['animal-like'],on-spot mobile,,n/a,0,,,,,-1,"['soft', 'full', 'undressed']",['variable'],['education'],['children'],not available,['preprogrammed behaviors'],"['touch', 'lights']","['tactile', 'sound']",['static'],not mentioned ,1,2016,25,2
Omate Yumi,['biomimetic'],fully-mobile,,n/a,0,,,,,-1,"['hard', 'full', 'undressed']","['white', 'black']",['service'],['general public'],used to be available,"['speech recognition', 'speech synthesis', 'face recognition']","['camera', 'microphone']","['speech', 'body movement', 'head movement', 'eye movement', 'lights', 'facial expression']",['screen'],not mentioned,1,2016,25,6
Aido,['biomimetic'],fully-mobile,,n/a,0,,,,,-1,"['hard', 'full', 'undressed']","['white', 'black']",['service'],['general public'],available ,"['speech recognition', 'speech synthesis', 'face recognition', 'autonomous navigation', 'object recognition']","['microphone', 'camera', 'laser']","['speech', 'body movement', 'head movement', 'eye movement', 'lights', 'facial expression']",['screen'],not mentioned,1,2016,25,6
Opsoro,['humanoid'],on-spot mobile,9,gesture,-1,,,,,-1,"['soft', 'full', 'undressed']",['variable'],"['research', 'education']",['research groups'],open-source,['preprogrammed behaviors'],['x'],"['gesture', 'facial expression']",['partly-actuated'],library/API available,1,2016,25,2
MugBot,['mechanoid'],on-spot mobile,,n/a,0,,,,,-1,"['hard', 'full', 'undressed']",['variable'],"['research', 'entertainment']","['general public', 'research groups']",open-source,['speech synthesis'],['x'],"['lights', 'speech']",['back-projected'],not mentioned,1,2016,25,2
Otto,['biomimetic'],on-spot mobile,,n/a,0,,,,,-1,"['hard', 'full', 'undressed']","['white', 'black']",['service'],['general public'],not available,"['speech recognition', 'speech synthesis', 'face recognition']","['microphone', 'camera']","['speech', 'eye movement', 'lights', 'facial expression']",['screen'],not mentioned,1,2016,25,4
Rapiro,['humanoid'],fully-mobile,12,functional,6,250,155,200,,1,"['hard', 'full', 'undressed']","['white', 'grey']","['service', 'entertainment']",['elderly'],available ,"['speech recognition', 'face recognition']","['microphone', 'camera', 'touch']","['speech', 'tactile', 'gesture', 'body movement']",['LED features'],library/API available,1,2017,20,4
Gongzi,['biomimetic'],on-spot mobile,,n/a,0,,,,,-1,"['hard', 'full', 'undressed']","['grey', 'black']",['service'],['general public'],not available,"['speech recognition', 'speech synthesis', 'face recognition']","['microphone', 'camera']","['speech', 'head movement', 'eye movement', 'lights', 'facial expression']",['screen'],not mentioned,1,2017,20,5
Ribo,['hybrid'],on-spot mobile,24,gesture,14,,,,,12,"['hard', 'partial', 'undressed']",['grey'],"['service', 'healthcare', 'education', 'research', 'entertainment']","['general public', 'research groups']",not available,"['preprogrammed behaviors', 'speech recognition', 'speech synthesis', 'sound localization']","['camera', 'microphone', 'touch', 'depth camera']","['tactile', 'speech', 'body movement', 'gesture', 'head movement']",['fully-actuated'],support ROS,1,2017,20,5
ALPHA 1 Pro,['humanoid'],fully-mobile,16,gesture,6,401,198,124,,1.65,"['hard', 'full', 'undressed']","['white', 'black']","['education', 'entertainment']","['children', 'general public']",available ,"['teleoperation', 'preprogrammed behaviors']",['x'],"['sound', 'gesture', 'body movement']",['static'],library/API available,1,2017,20,3
Vyo,['abstract'],on-spot mobile,5,n/a,0,33,,,,-1,"['hard', 'full', 'undressed']",['grey'],['service'],['general public'],not available ,"['preprogrammed behaviors', 'sound cues generation']",['camera'],"['body movement', 'sound']",['x'],not mentioned ,1,2017,20,2
ARIA,['android'],on-spot mobile,12,n/a,0,,,,,-1,"['soft', 'full', 'undressed']",['light skin tone'],['research'],['research groups'],not available,['preprogrammed behaviors'],['x'],"['head movement', 'eye movement']",['partly-actuated'],not mentioned ,1,2017,20,2
Type-A robot,['hybrid'],on-spot mobile,4,gesture,2,,,,,-1,"['hard', 'partial', 'undressed']","['white', 'black']",['service'],['elderly'],not available ,['speech synthesis'],"['microphone', 'camera']",['sound'],['LED features'],library/API available,1,2017,20,1
Keeko,['biomimetic'],fully-mobile,,n/a,0,450,,,,4.5,"['hard', 'full', 'undressed']","['white', 'black']",['education'],['children'],available ,"['preprogrammed behaviors', 'speech synthesis', 'speech recognition', 'object recognition']","['camera', 'touch', 'microphone']","['touchscreen', 'speech', 'body movement']",['screen'],not mentioned ,1,2017,20,3
Cruzr,['humanoid'],fully-mobile,,gesture,-1,,,,,-1,"['hard', 'full', 'undressed']","['white', 'black']",['healthcare'],['general public'],available ,"['face recognition', 'autonomous navigation', 'preprogrammed behaviors', 'sound cues generation', 'teleoperation']","['laser', 'depth camera', 'microphone']","['touch screen', 'sound', 'speech']",['screen'],not mentioned ,1,2017,20,3
RAMCIP,['hybrid'],fully-mobile,13,functional,6,,,,,-1,"['hard', 'full', 'undressed']","['white', 'black', 'metallic']",['service'],"['patients', 'research groups']",not available ,"['speech recognition', 'speech synthesis', 'emotion recognition', 'gesture recognition']","['laser', 'touch', 'lights', 'microphone', 'camera', 'depth camera']","['speech', 'tactile', 'body movement', 'gesture', 'eye movement', 'facial expression', 'touch screen']",['screen'],support ROS  ,1,2017,20,7
ROBOMO,['mechanoid'],on-spot mobile,5,n/a,0,,,,,-1,"['hard', 'partial', 'undressed']","['white', 'black']",['education'],"['children', 'general public']",not available,"['speech recognition', 'speech synthesis']","['microphone', 'camera']","['speech', 'body movement']",['x'],not mentioned ,1,2017,20,2
Kuri,['biomimetic'],fully-mobile,7,n/a,0,500,,300,,6,"['hard', 'full', 'undressed']","['white', 'black']",['entertainment'],['general public'],used to be available,"['speech recognition', 'speech synthesis', 'face recognition', 'preprogrammed behaviors']","['microphone', 'touch', 'camera']","['sound', 'facial expression', 'body movement', 'head movement']",['partly-actuated'],not mentioned,1,2017,20,4
Mofully,['animal-like'],on-spot mobile,2,gesture,2,2000,,,,-1,"['fabric', 'full', 'undressed']",['pink'],['research'],['research groups'],not available,['preprogrammed behaviors'],['microphone'],['body movement'],['static'],not mentioned ,1,2017,20,1
Shelly,['animal-like'],on-spot mobile,10,n/a,0,,,,,-1,"['hard', 'full', 'undressed']",['white'],['education'],['children'],not available,['preprogrammed behaviors'],"['touch', 'force']","['tactile', 'body movement', 'lights']",['static'],not mentioned,1,2018,22,3
MAT,['mechanoid'],fully-mobile,,n/a,0,,,,,-1,"['hard', 'full', 'undressed']",['black'],['research'],['research groups'],not available,"['autonomous navigation', 'gesture recognition', 'object recognition', 'pose tracking', 'face recognition']","['microphone', 'depth camera']","['speech', 'touch screen', 'body movement']",['x'],support ROS,1,2018,22,3
SCIPRR,['hybrid'],on-spot mobile,4,n/a,0,,,,,-1,"['hard', 'partial', 'undressed']","['metallic', 'black']",['research'],"['general public', 'research groups']",not available,['preprogrammed behaviors'],"['camera', 'microphone']","['head movement', 'eye movement', 'facial expression']",['screen'],support ROS,1,2018,22,3
Kiro,['humanoid'],fully-mobile,18,gesture,-1,200,,,,-1,"['hard', 'partial', 'undressed']","['white', 'black']",['research'],['patients'],not available,"['preprogrammed behaviors', 'speech synthesis']",['x'],"['body movement', 'gesture', 'speech']",['static'],interface available ,1,2018,22,3
RoboQuin,['humanoid'],on-spot mobile,22,gesture,14,800,,400,,10,"['hard', 'partial', 'undressed']","['white', 'black']","['research', 'telepresence']",['research groups'],not available,"['preprogrammed behaviors', 'speech synthesis']",['x'],"['body movement', 'gesture', 'speech']",['x'],not mentioned ,1,2018,22,3
Bobi ,['abstract'],on-spot mobile,,n/a,0,,,,,-1,"['hard', 'full', 'undressed']",['metallic'],['service'],['general public'],not available ,"['speech recognition', 'speech synthesis']","['camera', 'microphone']","['facial expression', 'speech']",['screen'],not mentioned ,1,2018,22,2
